"Number of students entered for a level 3 free standing mathematics qualification by institution, subject and grade achieved",,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,
Cornwall,112041,Torpoint Community College,Foundation School,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,2,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,112385,Ulverston Victoria High School,Community School,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,6,0,3,2,1,0,0
Cumbria,112385,Ulverston Victoria High School,Community School,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,6,3,2,1,0,0,0
Torbay,113526,Westlands School,Foundation School,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,1,Supp,Supp,Supp,Supp,Supp,Supp
Torbay,113526,Westlands School,Foundation School,Free standing Maths Qual Level 3,Using & Applying Statistics,1,Supp,Supp,Supp,Supp,Supp,Supp
Devon,113573,Kelly College,Independent School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Plymouth,113609,Plymouth College,Independent School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,4,Supp,Supp,Supp,Supp,Supp,Supp
County Durham,114327,St Bede's Catholic Comprehensive School and Byron College,Voluntary Aided School,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,12,0,0,2,4,5,1
County Durham,114336,Barnard Castle School,Independent School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,2,Supp,Supp,Supp,Supp,Supp,Supp
Brighton and Hove,114606,Blatchington Mill School and Sixth Form College,Community School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Brighton and Hove,114614,Brighton College,Independent School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
East Sussex,114651,Moira House Girls' School,Independent School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,3,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115396,Gosfield School,Independent School,Free standing Maths Qual Level 3,Data Analysis,2,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115396,Gosfield School,Independent School,Free standing Maths Qual Level 3,Mathematical Principles for Personal Finance,2,Supp,Supp,Supp,Supp,Supp,Supp
Gloucestershire,115797,Dean Close School,Independent School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,3,Supp,Supp,Supp,Supp,Supp,Supp
Southampton,116458,Bitterne Park School,Community School,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Southampton,116458,Bitterne Park School,Community School,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
Worcestershire,117012,Bromsgrove School,Independent School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,8,6,2,0,0,0,0
Worcestershire,117017,Malvern College,Independent School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,117525,Sir Frederic Osborn School,Community School,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,117525,Sir Frederic Osborn School,Community School,Free standing Maths Qual Level 3,Modelling with Calculus,1,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,117525,Sir Frederic Osborn School,Community School,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
East Riding of Yorkshire,118083,Wolfreton School,Community School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Kent,118946,Kent College Pembury,Independent School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,2,Supp,Supp,Supp,Supp,Supp,Supp
Kent,118952,Sevenoaks School,Independent School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Rutland,120322,Oakham School,Independent School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Oxfordshire,123290,Headington School,Independent School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Oxfordshire,123312,Abingdon School,Independent School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,2,Supp,Supp,Supp,Supp,Supp,Supp
Shropshire,123608,Shrewsbury School,Independent School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Somerset,123914,Taunton School,Independent School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Somerset,123916,Wells Cathedral School,Independent School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Somerset,123930,Wellington School,Independent School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,3,Supp,Supp,Supp,Supp,Supp,Supp
Staffordshire,124403,Clough Hall Technology School,Community School,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,3,Supp,Supp,Supp,Supp,Supp,Supp
Staffordshire,124403,Clough Hall Technology School,Community School,Free standing Maths Qual Level 3,Using & Applying Statistics,3,Supp,Supp,Supp,Supp,Supp,Supp
Staffordshire,124408,King Edward VI School,Community School,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,3,Supp,Supp,Supp,Supp,Supp,Supp
Staffordshire,124408,King Edward VI School,Community School,Free standing Maths Qual Level 3,Using & Applying Statistics,3,Supp,Supp,Supp,Supp,Supp,Supp
Suffolk,124804,Newmarket College,Community School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Suffolk,124804,Newmarket College,Community School,Free standing Maths Qual Level 3,Data Analysis,8,0,0,1,0,1,6
Suffolk,124804,Newmarket College,Community School,Free standing Maths Qual Level 3,Mathematical Principles for Personal Finance,8,2,2,0,0,0,4
Surrey,125332,Epsom College,Independent School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Surrey,125340,Charterhouse,Independent School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,2,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126080,Felpham Community College,Community School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126133,Ardingly College,Independent School,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,129383,Central Sussex College,General Further Education College,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,12,0,0,5,6,1,0
West Sussex,129383,Central Sussex College,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,2,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,129383,Central Sussex College,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,14,0,1,6,3,1,3
Hammersmith and Fulham,130408,"Ealing, Hammersmith and West London College",General Further Education College,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Hammersmith and Fulham,130408,"Ealing, Hammersmith and West London College",General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
Camden,130421,Westminster Kingsway College,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,2,Supp,Supp,Supp,Supp,Supp,Supp
Camden,130421,Westminster Kingsway College,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,2,Supp,Supp,Supp,Supp,Supp,Supp
Barnet,130425,Barnet and Southgate College,General Further Education College,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Havering,130444,Havering College of Further and Higher Education,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Havering,130444,Havering College of Further and Higher Education,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
Havering,130445,Havering Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,14,0,0,0,0,2,12
Hillingdon,130446,Uxbridge College,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
Kingston upon Thames,130448,Kingston College,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Kingston upon Thames,130448,Kingston College,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
Richmond upon Thames,130454,Richmond-upon-Thames College,Tertiary College,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Richmond upon Thames,130454,Richmond-upon-Thames College,Tertiary College,Free standing Maths Qual Level 3,Data Analysis,58,2,8,9,8,9,22
Richmond upon Thames,130454,Richmond-upon-Thames College,Tertiary College,Free standing Maths Qual Level 3,Modelling with Calculus,8,0,2,3,1,1,1
Richmond upon Thames,130454,Richmond-upon-Thames College,Tertiary College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,64,10,18,11,9,3,13
Dudley,130476,Halesowen College,Tertiary College,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,3,Supp,Supp,Supp,Supp,Supp,Supp
Dudley,130476,Halesowen College,Tertiary College,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Dudley,130476,Halesowen College,Tertiary College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
Solihull,130482,"The Sixth Form College, Solihull",Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,55,20,8,10,6,5,6
Solihull,130482,"The Sixth Form College, Solihull",Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Modelling with Calculus,43,7,8,12,3,3,10
Solihull,130482,"The Sixth Form College, Solihull",Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,55,17,17,13,3,4,1
Liverpool,130487,The City of Liverpool College,General Further Education College,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Sefton,130491,Southport College,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Sefton,130491,Southport College,General Further Education College,Free standing Maths Qual Level 3,Dynamics,1,Supp,Supp,Supp,Supp,Supp,Supp
Sefton,130491,Southport College,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,2,Supp,Supp,Supp,Supp,Supp,Supp
Sefton,130492,King George V College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,13,2,1,3,3,2,2
Sefton,130492,King George V College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Dynamics,7,0,2,0,0,1,4
Sefton,130492,King George V College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Modelling with Calculus,12,2,4,1,1,1,3
Sefton,130492,King George V College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,21,5,4,1,6,5,0
Wirral,130494,Birkenhead Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,20,0,0,1,13,6,0
Wirral,130494,Birkenhead Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,20,3,8,5,3,1,0
Manchester,130503,Loreto College,Further Education Sector Institution,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Oldham,130505,The Oldham College,General Further Education College,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,2,Supp,Supp,Supp,Supp,Supp,Supp
Oldham,130505,The Oldham College,General Further Education College,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,1,Supp,Supp,Supp,Supp,Supp,Supp
Oldham,130505,The Oldham College,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,4,Supp,Supp,Supp,Supp,Supp,Supp
Oldham,130505,The Oldham College,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,4,Supp,Supp,Supp,Supp,Supp,Supp
Oldham,130505,The Oldham College,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Statistics,1,Supp,Supp,Supp,Supp,Supp,Supp
Oldham,130506,Oldham Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,8,0,1,4,1,1,1
Oldham,130506,Oldham Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,76,20,18,17,7,8,6
Oldham,130506,Oldham Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Dynamics,1,Supp,Supp,Supp,Supp,Supp,Supp
Oldham,130506,Oldham Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Modelling with Calculus,50,8,11,7,9,4,11
Oldham,130506,Oldham Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,76,17,20,21,13,1,4
Oldham,130506,Oldham Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Statistics,8,0,2,2,2,2,0
Stockport,130514,Aquinas College,Further Education Sector Institution,Free standing Maths Qual Level 3,Data Analysis,14,0,3,3,2,1,5
Stockport,130514,Aquinas College,Further Education Sector Institution,Free standing Maths Qual Level 3,Dynamics,14,1,0,4,3,2,4
Stockport,130514,Aquinas College,Further Education Sector Institution,Free standing Maths Qual Level 3,Modelling with Calculus,8,0,0,3,3,0,2
Stockport,130515,Cheadle and Marple Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,11,0,3,4,1,0,3
Stockport,130515,Cheadle and Marple Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Modelling with Calculus,5,Supp,Supp,Supp,Supp,Supp,Supp
Stockport,130515,Cheadle and Marple Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,12,4,0,4,1,0,3
Tameside,130518,Ashton Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,26,4,4,8,6,1,3
Tameside,130518,Ashton Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Modelling with Calculus,21,0,3,1,2,2,13
Tameside,130518,Ashton Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,26,5,9,10,2,0,0
Trafford,130519,Trafford College,General Further Education College,Free standing Maths Qual Level 3,Algebraic & Graphical Techniques,1,Supp,Supp,Supp,Supp,Supp,Supp
Trafford,130519,Trafford College,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,5,Supp,Supp,Supp,Supp,Supp,Supp
Trafford,130519,Trafford College,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,5,Supp,Supp,Supp,Supp,Supp,Supp
Barnsley,130524,Barnsley College,Tertiary College,Free standing Maths Qual Level 3,Data Analysis,31,2,3,9,6,1,10
Barnsley,130524,Barnsley College,Tertiary College,Free standing Maths Qual Level 3,Modelling with Calculus,18,4,1,2,2,1,8
Barnsley,130524,Barnsley College,Tertiary College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,31,0,8,5,3,6,9
Rotherham,130527,Rotherham College of Arts and Technology,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Rotherham,130527,Rotherham College of Arts and Technology,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
Rotherham,130530,Thomas Rotherham College,Further Education Sector Institution,Free standing Maths Qual Level 3,Data Analysis,29,6,3,8,1,3,8
Rotherham,130530,Thomas Rotherham College,Further Education Sector Institution,Free standing Maths Qual Level 3,Modelling with Calculus,15,3,3,2,4,1,2
Rotherham,130530,Thomas Rotherham College,Further Education Sector Institution,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,29,5,5,7,6,3,3
Kirklees,130537,Kirklees College,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Kirklees,130537,Kirklees College,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
Kirklees,130539,Huddersfield New College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,77,10,15,17,6,4,25
Kirklees,130539,Huddersfield New College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Dynamics,6,0,1,1,0,0,4
Kirklees,130539,Huddersfield New College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Mathematical Principles for Personal Finance,3,Supp,Supp,Supp,Supp,Supp,Supp
Kirklees,130539,Huddersfield New College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Modelling with Calculus,42,4,6,8,8,7,9
Kirklees,130539,Huddersfield New College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,85,17,18,19,11,10,10
Wakefield,130549,Wakefield College,General Further Education College,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Wakefield,130550,New College Pontefract,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Wakefield,130550,New College Pontefract,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,130552,NCG,General Further Education College,Free standing Maths Qual Level 3,Dynamics,2,Supp,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,130552,NCG,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,2,Supp,Supp,Supp,Supp,Supp,Supp
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,Free standing Maths Qual Level 3,Data Analysis,20,1,1,4,1,3,10
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,Free standing Maths Qual Level 3,Modelling with Calculus,9,1,0,3,2,2,1
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,20,5,4,5,1,3,2
Hartlepool,130568,Hartlepool Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,19,6,3,3,3,2,2
Hartlepool,130568,Hartlepool Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Modelling with Calculus,11,4,0,1,3,2,1
Hartlepool,130568,Hartlepool Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,19,9,2,3,3,0,2
Middlesbrough,130570,Middlesbrough College,Tertiary College,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Redcar and Cleveland,130573,Redcar & Cleveland College,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Redcar and Cleveland,130573,Redcar & Cleveland College,General Further Education College,Free standing Maths Qual Level 3,Modelling with Calculus,1,Supp,Supp,Supp,Supp,Supp,Supp
Redcar and Cleveland,130573,Redcar & Cleveland College,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
Redcar and Cleveland,130575,Prior Pursglove College,Further Education Sector Institution,Free standing Maths Qual Level 3,Data Analysis,23,2,6,6,3,2,4
Redcar and Cleveland,130575,Prior Pursglove College,Further Education Sector Institution,Free standing Maths Qual Level 3,Dynamics,23,5,1,6,3,2,6
Redcar and Cleveland,130575,Prior Pursglove College,Further Education Sector Institution,Free standing Maths Qual Level 3,Modelling with Calculus,39,2,12,10,6,3,6
Redcar and Cleveland,130575,Prior Pursglove College,Further Education Sector Institution,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,46,21,11,4,7,2,1
Redcar and Cleveland,130575,Prior Pursglove College,Further Education Sector Institution,Free standing Maths Qual Level 3,Using & Applying Statistics,4,Supp,Supp,Supp,Supp,Supp,Supp
Stockton-on-Tees,130577,Stockton Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Additional Mathematics FSMQ,1,Supp,Supp,Supp,Supp,Supp,Supp
Stockton-on-Tees,130577,Stockton Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
Stockton-on-Tees,130577,Stockton Sixth Form College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
North East Lincolnshire,130585,Grimsby Institute of Further and Higher Education,General Further Education College,Free standing Maths Qual Level 3,Data Analysis,1,Supp,Supp,Supp,Supp,Supp,Supp
North East Lincolnshire,130585,Grimsby Institute of Further and Higher Education,General Further Education College,Free standing Maths Qual Level 3,Using & Applying Decision Mathematics,1,Supp,Supp,Supp,Supp,Supp,Supp
North East Lincolnshire,130586,Franklin College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Data Analysis,21,4,6,6,0,3,2
North East Lincolnshire,130586,Franklin College,Sixth Form Centre / Consortia,Free standing Maths Qual Level 3,Modelling with Calculus,16,2,6,2,2,3,1
